salary_profile_id,employee_id,effective_date,expiry_date,roster_salary,monthly_salary_base,social_security_base,housing_fund_base,position_or_type
SAL_202604_EMP001,EMP001,2022-06-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP002,EMP002,2022-09-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP003,EMP003,2023-02-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP004,EMP004,2023-03-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP005,EMP005,2023-11-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP006,EMP006,2025-01-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP007,EMP007,2025-01-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP008,EMP008,2025-06-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP009,EMP009,2025-06-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP010,EMP010,2025-08-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP011,EMP011,2025-09-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP012,EMP012,2026-01-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP013,EMP013,2026-02-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP014,EMP014,2022-06-01,,10000.0,10000.0,,,BOSS
SAL_202604_EMP015,EMP015,2024-08-08,,10000.0,10000.0,,,BOSS
SAL_202604_EMP016,EMP016,2022-06-01,,10000.0,10000.0,,,员工
SAL_202604_EMP017,EMP017,2022-06-01,,10000.0,10000.0,,,部门负责人
SAL_202604_EMP018,EMP018,2022-06-01,,10000.0,10000.0,,,员工
SAL_202604_EMP019,EMP019,2022-06-01,,10000.0,10000.0,,,员工
SAL_202604_EMP020,EMP020,2022-06-01,,10000.0,10000.0,,,员工
SAL_202604_EMP021,EMP021,2022-06-01,,10000.0,10000.0,,,员工
SAL_202604_EMP022,EMP022,2022-06-01,,10000.0,10000.0,,,部门负责人
