tax_ledger_id,employee_id,payroll_run_id,tax_period,tax_entity_company_id,current_income,cumulative_income,cumulative_deductions,cumulative_basic_deduction,cumulative_taxable_income,cumulative_tax_payable,previous_cumulative_tax_withheld,current_tax,source,reconciliation_status,applied_rule_ids,calculation_trace
TAX_202605_EMP001,EMP001,PAYROLL_202604,2026-05,COMP_SCNY,,38500.0,8627.5,25000.0,,,343.5,,historical_input_from_excel,待计算,,
TAX_202605_EMP002,EMP002,PAYROLL_202604,2026-05,COMP_SCNY,,5000.0,0.0,60000.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP003,EMP003,PAYROLL_202604,2026-05,COMP_SCNY,,55000.0,12127.35,25000.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP004,EMP004,PAYROLL_202604,2026-05,COMP_SCNY,,3700.0,0.0,20000.0,,,150.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP005,EMP005,PAYROLL_202604,2026-05,COMP_SCNY,,40000.0,6981.7,25000.0,,,383.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP006,EMP006,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,25000.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP007,EMP007,PAYROLL_202604,2026-05,COMP_SCNY,,32226.44,6180.35,25000.0,,,222.23,,historical_input_from_excel,待计算,,
TAX_202605_EMP008,EMP008,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,10000.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP009,EMP009,PAYROLL_202604,2026-05,COMP_SCNY,,75000.0,0.0,25000.0,,,2280.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP010,EMP010,PAYROLL_202604,2026-05,COMP_SCNY,,55000.0,10985.85,25000.0,,,646.9,,historical_input_from_excel,待计算,,
TAX_202605_EMP011,EMP011,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,15000.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP012,EMP012,PAYROLL_202604,2026-05,COMP_SCNY,,20000.0,3029.8,25000.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP013,EMP013,PAYROLL_202604,2026-05,COMP_SCNY,,100000.0,17746.3,25000.0,,,724.65,,historical_input_from_excel,待计算,,
TAX_202605_EMP015,EMP015,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,5000.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP016,EMP016,PAYROLL_202604,2026-05,COMP_SCNY,,5000.0,0.0,25000.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP025,EMP025,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,25000.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP027,EMP027,PAYROLL_202604,2026-05,COMP_SCNY,,93740.0,14945.8,25000.0,,,898.06,,historical_input_from_excel,待计算,,
TAX_202605_EMP028,EMP028,PAYROLL_202604,2026-05,COMP_SCNY,,40000.0,9348.6,25000.0,,,350.19,,historical_input_from_excel,待计算,,
TAX_202605_EMP034,EMP034,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,10000.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP052,EMP052,PAYROLL_202604,2026-05,COMP_SCNY,,29974.0,8189.9,25000.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP053,EMP053,PAYROLL_202604,2026-05,COMP_SCNY,,5000.0,0.0,60000.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP082,EMP082,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,60000.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP087,EMP087,PAYROLL_202604,2026-05,COMP_SCNY,,21850.57,4493.9,25000.0,,,21.51,,historical_input_from_excel,待计算,,
TAX_202605_EMP096,EMP096,PAYROLL_202604,2026-05,COMP_SCNY,,70000.0,18162.35,25000.0,,,524.1,,historical_input_from_excel,待计算,,
TAX_202605_EMP098,EMP098,PAYROLL_202604,2026-05,COMP_SCNY,,115000.0,0.0,25000.0,,,5080.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP105,EMP105,PAYROLL_202604,2026-05,COMP_SCNY,,22500.0,7100.0,25000.0,,,9.6,,historical_input_from_excel,待计算,,
TAX_202605_EMP110,EMP110,PAYROLL_202604,2026-05,COMP_SCNY,,3500.0,0.0,25000.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP123,EMP123,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,25000.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP126,EMP126,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,682.0,5000.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP148,EMP148,PAYROLL_202604,2026-05,COMP_SCNY,,17500.0,5443.15,25000.0,,,0.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP149,EMP149,PAYROLL_202604,2026-05,COMP_SCNY,,20712.64,5070.0,10000.0,,,189.98,,historical_input_from_excel,待计算,,
TAX_202605_EMP166,EMP166,PAYROLL_202604,2026-05,COMP_SCNY,,75000.0,0.0,0.0,,,4280.0,,historical_input_from_excel,待计算,,
TAX_202605_EMP167,EMP167,PAYROLL_202604,2026-05,COMP_SCNY,,0.0,0.0,25000.0,,,0.0,,historical_input_from_excel,待计算,,
